1,Basil flavoured Vegetable Dumplings ,310
2,Corn and Waterchestnut Dumplings,310
3,Sichuan Chili Babycorn Appertizer,475
4,Jian's Chili Cottage Cheese Appetizer,550
5,Crispy Corn Chiliy Pepper Appetizer,515
6,Lung Fung Soup ,270
7,Eight Treasure Soup,270
8,Exotic Vegetables in Chili Basil sauce in Clay Pot,575
9,Japanese Fried Wheat Noodles,495
10,Curied Singapore Rice Noodles,495
11,Cantonese style pan-fried Noodle,495
